Country,Defence budget per capita 2013,Defence budget per capita 2014,Defence budget per capita 2015,Defence budget % GDP 2013,Defence budget % GDP 2014,Defence budget % GDP 2015,Active Armed Forces 2015
Canada,462.15000000000003,446.35,394.01250000000005,0.88,0.88,0.89,66
United States,1975.9875000000002,1869.3375,1835.7625,3.8,3.48,3.33,1381
Albania,61.225,52.337500000000006,45.425000000000004,1.44,1.22,1.19,8
Belgium,441.4125,436.475,346.6125,0.95,0.93,0.87,31
Bulgaria,102.7,97.7625,81.9625,1.39,1.29,1.27,31
Croatia,176.76250000000002,164.9125,149.1125,1.39,1.31,1.38,17
Czechia,200.4625,188.6125,164.9125,1.03,0.99,0.97,22
Denmark,808.7625,829.5,610.275,1.36,1.37,1.19,17
Estonia,372.2875,397.96250000000003,350.5625,1.91,1.93,1.96,6
Finland,693.225,661.625,539.1750000000001,1.42,1.34,1.3,22
France,783.0875000000001,776.1750000000001,693.225,1.86,1.84,1.93,209
Germany,537.2,525.35,448.32500000000005,1.18,1.11,1.09,179
Greece,541.15,521.4,433.51250000000005,2.43,2.39,2.45,143
Hungary,107.6375,100.72500000000001,87.8875,0.81,0.74,0.74,27
Iceland,115.53750000000001,116.525,102.7,0.25,0.23,0.21,0
Italy,404.875,392.0375,343.65000000000003,1.18,1.14,1.18,175
Latvia,103.6875,145.1625,132.32500000000002,0.69,0.93,0.96,5
Lithuania,121.4625,149.1125,161.95000000000002,0.78,0.91,1.14,16
Luxembourg,451.2875,443.38750000000005,371.3,0.41,0.38,0.37,1
North Macedonia,65.175,118.5,50.362500000000004,1.27,2.21,1.07,8
Montenegro,99.73750000000001,120.47500000000001,104.67500000000001,1.5,1.74,1.72,2
Netherlands,608.3000000000001,624.1,518.4375,1.2,1.21,1.19,36
Norway,1405.2125,1299.55,1044.775,1.39,1.36,1.39,26
Poland,229.10000000000002,259.71250000000003,263.6625,1.7,1.86,2.14,99
Portugal,253.78750000000002,236.01250000000002,198.4875,1.23,1.12,1.1,33
Romania,110.60000000000001,126.4,114.55000000000001,1.27,1.4,1.44,71
Slovakia,180.7125,188.6125,167.875,1.02,1.04,1.07,16
Slovenia,231.07500000000002,264.65000000000003,222.1875,0.98,1.08,1.05,8
Spain,305.1375,261.6875,220.2125,1.05,0.9,0.88,122
Sweden,664.5875,639.9,530.2875,1.12,1.1,1.09,30
TÃ¼rkiye,136.275,125.41250000000001,103.6875,1.3,1.25,1.16,511
United Kingdom,903.5625,951.95,867.0250000000001,2.25,2.22,2.05,155
China,83.9375,94.80000000000001,104.67500000000001,1.22,1.27,1.28,2333
Russia,458.20000000000005,447.33750000000003,357.475,3.18,3.47,4.18,798
