Country,GDP 2021,GDP 2022,GDP 2023
Albania,13659219676,14318507636,14882173624
Belgium,499595504127,520745539238,527263714444
Bulgaria,59718632534,62130535277,63302823436
Canada,1696305710720,1761102321572,1783097209318
China,15851276922873,16318995784492,17175670911003
Czechia,214043320209,220137498815,219949654880
Germany,3652205602572,3702230996916,3692366831510
Denmark,350255593023,355650135472,364524261928
Spain,1267004457572,1345296618919,1381292229418
Estonia,28417254674,28434426605,27574843698
Finland,253878739632,257560103403,254562199573
France,2580120255345,2646451031159,2671234714330
United Kingdom,3074755378779,3223545409624,3234504373105
Greece,203277224063,214952754695,219965719224
Croatia,59714859477,64066840476,66182676637
Hungary,150710923361,157618619387,156187937314
Iceland,20304846331,22130761184,23245527336
Italy,1908092024347,1997042745688,2010974774790
Lithuania,52150789442,53474128766,53657150684
Luxembourg,70679635853,71655146215,70870003856
Latvia,30285399223,30834377325,31360657012
North Macedonia,11141955229,11449348867,11686665220
Montenegro,4576160079,4869340027,5177944070
Netherlands,872809728969,916513359627,917196718601
Norway,420836044228,433484840343,435564038441
Poland,605337233054,637150470884,638035044435
Portugal,214984151691,230002604720,235813117071
Romania,221968423307,230770154206,236318495899
Russia,1502645054025,1471544636157,1524520243059
Slovakia,102523269375,102984289733,104403760583
Slovenia,51983646872,53386808992,54514654364
Sweden,567227918052,575505409872,573717486152
TÃ¼rkiye,1131775463573,1194401442556,1255449309088
United States,20917853444668,21443388432051,22062578283266
